frame,person_confidence,roi_coords,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13
1,0.9308429956436157,"(0, 71, 237, 480)",153.87755453214774,128.66018508003918,35.54129262248825,22.947180028235845,67.89428160166075,67.7513202942839,153.48395672616144,144.2231000372092,0.015120631289367251,0.06836273890455674,0.46526101910385953,25.217369452108557,9.26085668895223
2,0.9302332401275635,"(0, 70, 237, 480)",155.40425324553019,129.71803515935764,35.09345275807528,22.36479015007693,66.55341166305772,66.56881000106556,149.68437358140199,140.1146942388001,0.01563109994535282,0.0683961408299283,0.46621087025646796,25.686218086172545,9.569679342601887
3,0.9310672879219055,"(0, 69, 236, 480)",156.21656162984956,130.4960226202563,34.99506672582059,22.257236843049807,72.53851809987815,66.46661517205399,163.19099203424452,138.92206878025544,0.015294170971908098,0.06998386866575404,0.46810110373218716,25.720539009593267,24.268923253989072
4,0.931952953338623,"(0, 69, 237, 479)",156.96903952114334,130.65390050376539,34.99347870311572,22.022071826481195,70.1274994247462,65.81388645835496,157.2660652351015,136.20873562407957,0.015669965382901534,0.0704655680562859,0.46759192826685336,26.31513901737796,21.05732961102194
5,0.9329096674919128,"(0, 67, 237, 479)",157.18736319398997,131.1759359603182,34.78067291046127,21.99108219940144,70.63059226942029,66.64296511415802,157.26011935365835,136.66070452742574,0.016371229812536883,0.07213976687256542,0.46683747275039855,26.011427233671753,20.599414826232618
6,0.9315476417541504,"(0, 65, 237, 479)",157.1369994850215,131.79690347504254,34.112002333951224,21.800398216118996,71.30328118254032,67.96656840285706,155.08438527095623,136.09920558037078,0.01574840482163017,0.07084240982473197,0.4654812365558187,25.340096009978964,18.985179690585454
7,0.9319685697555542,"(0, 63, 236, 479)",157.07968325628747,132.51243676810145,33.70686497266889,22.019830214348943,72.13947448591445,68.71255647387044,155.4259755764814,136.02209028673764,0.016442074007467878,0.07052027125966655,0.46725970800997746,24.567246488186015,19.403885289743755
8,0.936526358127594,"(0, 60, 235, 480)",156.89811536964356,132.66416478648836,33.25262808440846,21.713441017837198,72.67597522555924,69.07055798012894,155.37897426593824,135.94423169131576,0.017502998980859986,0.07108616601563009,0.46810341960355156,24.233950583155206,19.434742574622476
9,0.9395557045936584,"(0, 57, 235, 480)",155.9325752077918,132.4861688644719,32.73124857802285,21.129406145561532,71.95389151267086,68.69666209914098,153.7146016356811,134.61786071013742,0.018747106507200982,0.07053432451518486,0.4679873694057943,23.44640634331992,19.096740925543685
10,0.940419614315033,"(0, 55, 235, 480)",154.9729824617506,132.5413216675656,32.065556105245335,20.559805277346427,71.84494411588274,68.70885886896737,152.8131522792899,133.44170689715318,0.019408781478262967,0.07015788485218094,0.46723990013512745,22.431660794185007,19.371445382136727
