frame,person_confidence,roi_coords,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13
1,0.9339870810508728,"(3, 89, 198, 445)",146.71520966994316,165.22559995647546,14.035604765151296,36.28713842109676,39.913185242590025,35.86968914642278,99.4318237027429,77.95203632780182,0.052226416169774796,0.023307104159174676,0.4290366996187362,18.5103902865323,21.479787374941083
2,0.9330676198005676,"(2, 89, 198, 445)",151.25228815419882,144.14967634459578,16.378923646737597,37.50537846639387,40.64833949659754,38.31437159344812,95.02328545090232,82.06826197673746,0.0361042418113878,0.02052239532800903,0.42061742014170245,7.102611809603047,12.95502347416486
3,0.9340513944625854,"(2, 88, 198, 445)",154.67081746791482,151.74396005674726,17.655339422394313,37.492980434777245,42.51699477380468,38.59600471743892,98.21415770080532,81.16477371287887,0.03789783006822858,0.021983632607530654,0.4146074094225501,2.9268574111675605,17.049383987926447
4,0.9328267574310303,"(2, 88, 199, 445)",156.84378983953712,141.76001926629368,18.912690517535875,37.00804711952404,42.45825419298032,38.95372693858827,101.3368428874156,81.50691014815077,0.0369444769760587,0.022254734982702626,0.41307689358355487,15.083770573243442,19.829932739264834
5,0.9340123534202576,"(2, 88, 200, 445)",155.8335395357065,145.23334736489724,17.028038130067756,37.37804006579011,42.64050795889898,38.82542560118942,101.36596329604238,81.7996572543514,0.03859852651821745,0.02114521351922326,0.40910029497041683,10.600192170809265,19.56630604169098
6,0.9328998923301697,"(2, 88, 201, 445)",148.71074288999043,137.93040197477973,16.659587488738875,37.719202615041645,42.5600652643653,38.59132099242072,101.09873881678497,83.28104696685685,0.04239481546271477,0.019889294619192442,0.40537554966686695,10.7803409152107,17.817691849928124
7,0.9346806406974792,"(1, 88, 202, 445)",146.23588256631706,141.22782872402752,15.563326673950115,37.77683535028826,41.85770398968067,38.49932944019185,98.96063520612326,83.85648692623278,0.04128663351673505,0.016719308221231726,0.40631992775236336,5.0080538422895415,15.104148279890481
8,0.9349158406257629,"(1, 88, 204, 445)",144.14252640451846,139.54833578017903,15.005026474344486,37.4666739382191,42.01984658551871,38.50431342830351,100.590944427608,85.07036750232677,0.037507296869157,0.014104726801929318,0.40924279772135186,4.594190624339433,15.520576925281219
9,0.9357936978340149,"(0, 88, 206, 444)",148.78770866608852,135.02609117552979,14.613349666228453,36.87477839877728,41.80190386355326,38.603844148908806,97.43566529321511,87.30734622993721,0.036489911780140834,0.00789820015700651,0.4095347091427198,13.761617490558734,10.1283190632779
10,0.9376676082611084,"(0, 89, 208, 444)",158.182865900218,130.25242165723768,23.549514053022857,39.69705339443161,42.940272819603514,39.29347307932212,96.14329109167842,89.38731140662792,0.03581028637534298,0.0056343287830221455,0.4048919973437003,27.930444242980315,6.755979685050505
